Step,Name,Files,Do,Output,Commit,StopIf
0,Dondurma ve kanit alma,reports/*,"git status, diffstat, file inventory, bas markdown scan",reports/00_*,commit reports if requested,git repo yoksa once git init/remote dogrula
1,Klasor agaci olusturma,uxm/*,Yeni uxm klasorlerini bos olarak olustur; .gitkeep koy,uxm klasorleri,her .gitkeep veya tek klasor commit,mkdir hata
2,Eski docs legacy tasima,"*.md, *.txt, eski csv/xlsx",03_legacy_tasima_manifesti.csv ile git mv,uxm/legacy/docs_old ve matrices_old,her dosya ayri commit+push,git mv fail
3,Aktif kod ve test tasima,compiler/runtime/final/ide/tests/scripts,04_aktif_kod_test_build_tasima_manifesti.csv ile git mv,"uxm/core, uxm/ide, uxm/tests, uxm/scripts",her dosya ayri commit+push,kaynak bulunamazsa manifestte BROKEN_PATH yaz
4,Iki plan belgesini yeniden uret,uxm/plans/00_eski_plan_ozeti.md; uxm/plans/01_yeni_kod_gercekligi_plani.md,Kod gercekliginden ozetle; eski belgeleri referans alma,sadece iki aktif md,her plan ayri commit+push,aktif md sayisi >2
5,Build script path duzeltme,uxm/scripts/build*.bat; run_tests.bat,Yeni uxm pathlerine gore derle; exit /b 1 hata zorunlu,nonzero fail scripts,her script ayri commit+push,script hata kodu yutarsa
6,Full tool kaynak kurtarma,uxm/core/full_tool_interpreter/src/uxm31_full_tool_fb.bas,Markdown/prose ayikla; hamini legacy/raw_chat_extracts altina tasi,derlenebilir uxm_full_tool.exe,kaynak ve ham extract ayri commit,markdown fence kalirsa
7,Final compiler kurtarma,uxm/core/final_arge/uxm31_compiler_final.bas,"#Lang ilk satir, reserved isimleri duzelt, derle",uxm_final.exe,dosya commit+push,fbc fail
8,Native x64 canonical build,uxm/core/native_x64/src/uxm31_compiler_fb.bas,ASM/OBJ/EXE output klasorlerini ayir,uxm.exe + asm/obj/json,dosya commit+push,exe yok
9,FP/MAT/MATH kalici entegrasyon,uxm/core/runtime/*; tests/fp; tests/matrix; tests/math,runtime_full routing + tests; tak-cikar degil kalici ortak runtime,FP/MAT/MATH test PASS JSON,her dosya ayri commit+push,EXPECT eksik
10,VSCode toolchain path guncelleme,uxm/ide/vscode/src/toolchain.ts; package.json,Yeni exe ve JSON rapor yollarina bagla,VSCode command report JSON,her dosya ayri commit+push,exe yoksa sessiz gecerse
11,Koddan matris uretme,uxm/reports/matrices/*.csv,Kod/test/build sonucundan feature/service/four_hat matrisleri uret,CSV matrisler,matris commit+push,VAR icin test yoksa
